X,Y,STOP_ID,building_area,civic,commercial,residential,industrial,SN_cat,Crosstown_cat,Express_cat,Local_cat,Flyer_cat,NightOwl_cat,HighFreq_cat,InOut_cat,Clockwise_cat,hotline_1,utshuttle_cat,Special_cat,school_count,stadium_count,medInc,count,population,mean_on,r7,r801,r10,r20,r803,r300,typology,label,pred_xgb,xgb,Differences
-97.7990172,30.21615934,3110,751589.7391,0.005216057,0.012321514,0.967336411,0.001696314,0,0,0,0,0,0,1,0,0,0,0,0,20,1,68769,124.2,216,343.6378257,0,0,0,0,0,0,Rest,Garrison Park,395.513544,395.513544,0
-97.79426361,30.21364446,3112,1662742.629,0.00369332,0.009892452,0.968346788,0.001494267,0,0,0,0,0,0,1,0,0,0,0,0,19,1,68769,124.6,315,444.6291577,0,0,0,0,0,0,Rest,Garrison Park,418.2572078,418.2572078,0
-97.79095897,30.21206103,3113,461847.5828,0.003804664,0.00489876,0.972962523,0.001776584,0,0,0,0,0,0,1,0,0,0,0,0,24,1,69191,124.6,369,448.1823762,0,0,0,0,0,0,Rest,Garrison Park,428.4650942,428.4650942,0
-97.78725946,30.21062486,3114,620236.7802,0.005036412,0.005323463,0.972473816,0.001644854,0,0,0,0,0,0,1,0,0,0,0,0,12,1,69191,124.6,397,440.3613949,0,0,0,0,0,0,Rest,Garrison Park,399.1017224,399.1017224,0
-97.77896671,30.20705819,3116,613727.9117,0.008321256,0.01628504,0.945007845,0.001070289,0,0,0,0,0,0,1,0,0,0,0,0,1,1,60919,124.8,307,470.1093812,0,0,0,0,0,0,Rest,Sweetbriar,309.9964425,309.9964425,0
-97.72823679,30.36257084,3120,712640.5057,0.001995163,0.034593854,0.952920939,0.002400792,0,1,0,0,0,0,0,0,0,0,0,0,16,1,55429,65,261,251.8181848,0,0,0,0,0,0,Rest,Wooten,202.7722127,202.7722127,0
-97.71887,30.36282,3123,945481.4879,0.003165897,0.019918627,0.968887648,0.002447087,0,1,0,0,0,0,0,0,0,0,0,0,13,1,55429,65,301,288.0329139,0,0,0,0,0,0,Rest,Wooten,266.2664374,266.2664374,0
-97.71592,30.36357,3125,1088591.317,0.003357236,0.02114294,0.967018157,0.002722013,0,1,0,0,0,0,0,0,0,0,0,0,26,1,36806,65,319,326.1992998,0,0,0,0,0,0,Rest,North Austin Civic Association,350.0027987,350.0027987,0
-97.71581914,30.37151811,3127,845472.2425,0.005318041,0.026248718,0.833838852,0.103693712,others,others,0,0,0,others,0,0,0,0,0,0,1,1,35181,84.4,306,172.2792165,0,0,0,0,0,0,Rest,North Austin Civic Association,205.3025665,205.3025665,0
-97.71270435,30.37016148,3128,879019.6204,0.003858271,0.016582137,0.90784332,0.05736194,others,others,0,0,0,others,others,0,0,0,0,0,11,1,35181,216.2,313,348.7691213,0,0,0,0,0,0,Rest,North Austin Civic Association,347.6765463,347.6765463,0
-97.71005675,30.36887328,3129,669338.1687,0.003779227,0.00653782,0.971741356,0.012056874,1,0,0,0,others,others,others,0,0,0,0,0,14,1,35181,158.2,347,264.967949,0,0,0,0,0,0,Rest,North Austin Civic Association,305.8081938,305.8081938,0
-97.70647,30.36738,3130,772351.3557,0.001496429,0.002124632,0.990585988,0,1,0,0,0,others,others,others,0,0,0,0,0,19,1,35181,158.4,405,267.9078475,0,0,0,0,0,0,Rest,North Austin Civic Association,275.7417872,275.7417872,0
-97.67749396,30.35156316,3134,698482.0049,0.007259052,0.015499728,0.897711444,0.051324396,1,0,0,0,0,0,1,0,0,0,0,0,5,1,39241,131.4,801,585.9163323,0,0,0,0,0,0,Rest,Heritage Hills,493.4383346,493.4383346,0
